"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"319","durable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320","dutiful",37,2,0,5,2,6,0,1,3,9,1,1,1,4,1,1
"321","dynamic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322","eager",90,5,7,8,7,11,4,2,2,6,1,8,9,6,6,8
"323","eagleeye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"324","earnest",133,5,15,11,18,17,0,4,8,9,1,9,9,8,7,12
"325","earthlym",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326","earthlyw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","earthy",17,0,1,2,1,3,2,0,0,1,3,0,0,1,2,1
"328","easeless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
